Tactics,Sentence
Defense Evasion,"Some analysts track Deep Panda and APT19 as the same group, but it is unclear from open source information if the groups are the same."
Execution,"Some analysts track Deep Panda and APT19 as the same group, but it is unclear from open source information if the groups are the same."
Privilege Escalation,"Some analysts track Deep Panda and APT19 as the same group, but it is unclear from open source information if the groups are the same."
Lateral Movement,"Some analysts track Deep Panda and APT19 as the same group, but it is unclear from open source information if the groups are the same."
Execution,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Command and Control,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Defense Evasion,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Discovery,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Persistence,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Privilege Escalation,Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System NSIS Installer; it has been used by MuddyWater since at least January 2022.
Execution,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Command and Control,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Defense Evasion,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Discovery,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Persistence,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Privilege Escalation,"Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
Execution,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Command and Control,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Discovery,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Collection,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Credential Access,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Defense Evasion,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Privilege Escalation,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Persistence,Cardinal RAT is a potentially low volume remote access trojan RAT observed since December 2015.
Execution,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Command and Control,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Discovery,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Collection,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Credential Access,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Defense Evasion,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Privilege Escalation,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Persistence,Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
Command and Control,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Discovery,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Collection,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Persistence,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Privilege Escalation,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Execution,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Exfiltration,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Defense Evasion,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014.
Command and Control,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Discovery,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Collection,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Persistence,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Privilege Escalation,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Execution,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Exfiltration,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Defense Evasion,ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
Defense Evasion,PHOREAL is a signature backdoor used by APT32.
Execution,PHOREAL is a signature backdoor used by APT32.
Command and Control,PHOREAL is a signature backdoor used by APT32.
Execution,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Defense Evasion,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Resource Development,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Persistence,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Privilege Escalation,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Command and Control,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Initial Access,APT-C-36 is a suspected South America espionage group that has been active since at least 2018.
Execution,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Defense Evasion,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Resource Development,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Persistence,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Privilege Escalation,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Command and Control,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Initial Access,"The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
Defense Evasion,"LockerGoga is ransomware that was first reported in January 2019, and has been tied to various attacks on European companies, including industrial and manufacturing firms."
Impact,"LockerGoga is ransomware that was first reported in January 2019, and has been tied to various attacks on European companies, including industrial and manufacturing firms."
Lateral Movement,"LockerGoga is ransomware that was first reported in January 2019, and has been tied to various attacks on European companies, including industrial and manufacturing firms."
Collection,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Discovery,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Execution,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Persistence,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Privilege Escalation,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Initial Access,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Command and Control,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Defense Evasion,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Lateral Movement,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Exfiltration,ToddyCat is a sophisticated threat group that has been active since at least 2020 using custom loaders and malware in multi-stage infection chains against government and military targets across Europe and Asia.
Command and Control,SNUGRIDE is a backdoor that has been used by menuPass as first stage malware.
Persistence,SNUGRIDE is a backdoor that has been used by menuPass as first stage malware.
Privilege Escalation,SNUGRIDE is a backdoor that has been used by menuPass as first stage malware.
Execution,SNUGRIDE is a backdoor that has been used by menuPass as first stage malware.
Defense Evasion,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Persistence,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Privilege Escalation,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Initial Access,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Discovery,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Execution,Naikon is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People's Liberation Army's PLA Chengdu Military Region Second Technical Reconnaissance Bureau Military Unit Cover Designator 78020.
Defense Evasion,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Persistence,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Privilege Escalation,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Initial Access,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Discovery,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Execution,"Active since at least 2010, Naikon has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme UNDP and the Association of Southeast Asian Nations ASEAN."
Defense Evasion,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Persistence,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Privilege Escalation,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Initial Access,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Discovery,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Execution,"While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches."
Command and Control,"PLEAD is a remote access tool RAT and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong."
Execution,"PLEAD is a remote access tool RAT and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong."
Credential Access,"PLEAD is a remote access tool RAT and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong."
Discovery,"PLEAD is a remote access tool RAT and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong."
Defense Evasion,"PLEAD is a remote access tool RAT and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong."
Command and Control,"PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two."
Execution,"PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two."
Credential Access,"PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two."
Discovery,"PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two."
Defense Evasion,"PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two."
Command and Control,PLEAD was observed in use as early as March 2017.
Execution,PLEAD was observed in use as early as March 2017.
Credential Access,PLEAD was observed in use as early as March 2017.
Discovery,PLEAD was observed in use as early as March 2017.
Defense Evasion,PLEAD was observed in use as early as March 2017.
Defense Evasion,The White Company is a likely state-sponsored threat actor with advanced capabilities.
Discovery,The White Company is a likely state-sponsored threat actor with advanced capabilities.
Execution,The White Company is a likely state-sponsored threat actor with advanced capabilities.
Initial Access,The White Company is a likely state-sponsored threat actor with advanced capabilities.
Defense Evasion,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan."
Discovery,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan."
Execution,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan."
Initial Access,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan."
Command and Control,"Lurid is a malware family that has been used by several groups, including PittyTiger, in targeted attacks as far back as 2006."
Collection,"Lurid is a malware family that has been used by several groups, including PittyTiger, in targeted attacks as far back as 2006."
Discovery,Poseidon Group is a Portuguese-speaking threat group that has been active since at least 2005.
Credential Access,Poseidon Group is a Portuguese-speaking threat group that has been active since at least 2005.
Defense Evasion,Poseidon Group is a Portuguese-speaking threat group that has been active since at least 2005.
Execution,Poseidon Group is a Portuguese-speaking threat group that has been active since at least 2005.
Discovery,The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the Poseidon Group as a security firm.
Credential Access,The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the Poseidon Group as a security firm.
Defense Evasion,The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the Poseidon Group as a security firm.
Execution,The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the Poseidon Group as a security firm.
Defense Evasion,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Privilege Escalation,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Discovery,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Command and Control,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Collection,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Exfiltration,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
Discovery,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Command and Control,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Defense Evasion,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Privilege Escalation,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Execution,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Persistence,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
Execution,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Discovery,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Defense Evasion,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Persistence,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Command and Control,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Privilege Escalation,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Credential Access,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Exfiltration,Penquin is a remote access trojan RAT with multiple versions used by Turla to target Linux systems since at least 2014.
Credential Access,"LaZagne is a post-exploitation, open-source tool used to recover stored passwords on a system."
Credential Access,"It has modules for Windows, Linux, and OSX, but is mainly focused on Windows systems."
Credential Access,LaZagne is publicly available on GitHub.
Defense Evasion,RARSTONE is malware used by the Naikon group that has some characteristics similar to PlugX.
Privilege Escalation,RARSTONE is malware used by the Naikon group that has some characteristics similar to PlugX.
Command and Control,RARSTONE is malware used by the Naikon group that has some characteristics similar to PlugX.
Discovery,RARSTONE is malware used by the Naikon group that has some characteristics similar to PlugX.
Command and Control,SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address.
Discovery,SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address.
Persistence,SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address.
Privilege Escalation,SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address.
Execution,SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address.
Command and Control,"SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
Discovery,"SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
Persistence,"SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
Privilege Escalation,"SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
Execution,"SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
Defense Evasion,WIREFIRE is a web shell written in Python that exists as trojanized logic to the visits.py component of Ivanti Connect Secure VPN appliances.
Persistence,WIREFIRE is a web shell written in Python that exists as trojanized logic to the visits.py component of Ivanti Connect Secure VPN appliances.
Command and Control,WIREFIRE is a web shell written in Python that exists as trojanized logic to the visits.py component of Ivanti Connect Secure VPN appliances.
Defense Evasion,WIREFIRE was used during Cutting Edge for downloading files and command execution.
Persistence,WIREFIRE was used during Cutting Edge for downloading files and command execution.
Command and Control,WIREFIRE was used during Cutting Edge for downloading files and command execution.
Credential Access,Net Crawler is an intranet worm capable of extracting credentials using credential dumpers and spreading to systems on a network over SMB by brute forcing accounts with recovered passwords and using PsExec to execute a copy of Net Crawler.
Execution,Net Crawler is an intranet worm capable of extracting credentials using credential dumpers and spreading to systems on a network over SMB by brute forcing accounts with recovered passwords and using PsExec to execute a copy of Net Crawler.
Lateral Movement,Net Crawler is an intranet worm capable of extracting credentials using credential dumpers and spreading to systems on a network over SMB by brute forcing accounts with recovered passwords and using PsExec to execute a copy of Net Crawler.
Defense Evasion,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Collection,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Exfiltration,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Command and Control,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Credential Access,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Discovery,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Lateral Movement,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Execution,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Persistence,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Privilege Escalation,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services AD FS server.
Defense Evasion,It has been used by APT29 since at least early April 2021.
Collection,It has been used by APT29 since at least early April 2021.
Exfiltration,It has been used by APT29 since at least early April 2021.
Command and Control,It has been used by APT29 since at least early April 2021.
Credential Access,It has been used by APT29 since at least early April 2021.
Discovery,It has been used by APT29 since at least early April 2021.
Lateral Movement,It has been used by APT29 since at least early April 2021.
Execution,It has been used by APT29 since at least early April 2021.
Persistence,It has been used by APT29 since at least early April 2021.
Privilege Escalation,It has been used by APT29 since at least early April 2021.
Initial Access,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Defense Evasion,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Command and Control,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Lateral Movement,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Discovery,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Impact,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Execution,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Resource Development,C0018 was a month-long ransomware intrusion that successfully deployed AvosLocker onto a compromised network.
Initial Access,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Defense Evasion,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Command and Control,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Lateral Movement,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Discovery,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Impact,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Execution,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Resource Development,The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing AvosLocker.
Initial Access,KARAE is a backdoor typically used by APT37 as first-stage malware.
Command and Control,KARAE is a backdoor typically used by APT37 as first-stage malware.
Discovery,KARAE is a backdoor typically used by APT37 as first-stage malware.
Defense Evasion,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Discovery,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Execution,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Persistence,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Privilege Escalation,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Command and Control,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Initial Access,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Collection,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.
Defense Evasion,IcedID has been downloaded by Emotet in multiple campaigns.
Discovery,IcedID has been downloaded by Emotet in multiple campaigns.
Execution,IcedID has been downloaded by Emotet in multiple campaigns.
Persistence,IcedID has been downloaded by Emotet in multiple campaigns.
Privilege Escalation,IcedID has been downloaded by Emotet in multiple campaigns.
Command and Control,IcedID has been downloaded by Emotet in multiple campaigns.
Initial Access,IcedID has been downloaded by Emotet in multiple campaigns.
Collection,IcedID has been downloaded by Emotet in multiple campaigns.
Command and Control,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Credential Access,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Defense Evasion,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Execution,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Discovery,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Persistence,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Privilege Escalation,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Initial Access,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Impact,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations.
Command and Control,The malware was first observed in January 2021.
Credential Access,The malware was first observed in January 2021.
Defense Evasion,The malware was first observed in January 2021.
Execution,The malware was first observed in January 2021.
Discovery,The malware was first observed in January 2021.
Persistence,The malware was first observed in January 2021.
Privilege Escalation,The malware was first observed in January 2021.
Initial Access,The malware was first observed in January 2021.
Impact,The malware was first observed in January 2021.
Command and Control,The TeamTNT activity group is believed to be behind Hildegard.
Credential Access,The TeamTNT activity group is believed to be behind Hildegard.
Defense Evasion,The TeamTNT activity group is believed to be behind Hildegard.
Execution,The TeamTNT activity group is believed to be behind Hildegard.
Discovery,The TeamTNT activity group is believed to be behind Hildegard.
Persistence,The TeamTNT activity group is believed to be behind Hildegard.
Privilege Escalation,The TeamTNT activity group is believed to be behind Hildegard.
Initial Access,The TeamTNT activity group is believed to be behind Hildegard.
Impact,The TeamTNT activity group is believed to be behind Hildegard.
Persistence,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Privilege Escalation,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Execution,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Collection,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Discovery,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Command and Control,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Defense Evasion,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Exfiltration,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
Credential Access,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Defense Evasion,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Privilege Escalation,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Collection,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Execution,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Discovery,PACEMAKER is a credential stealer that was used by APT5 as early as 2020 including activity against US Defense Industrial Base DIB companies.
Defense Evasion,RAPIDPULSE is a web shell that exists as a modification to a legitimate Pulse Secure file that has been used by APT5 since at least 2021.
Collection,RAPIDPULSE is a web shell that exists as a modification to a legitimate Pulse Secure file that has been used by APT5 since at least 2021.
Persistence,RAPIDPULSE is a web shell that exists as a modification to a legitimate Pulse Secure file that has been used by APT5 since at least 2021.
Initial Access,EXOTIC LILY is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including Conti and Diavol.
Resource Development,EXOTIC LILY is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including Conti and Diavol.
Execution,EXOTIC LILY is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including Conti and Diavol.
Command and Control,EXOTIC LILY is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including Conti and Diavol.
Reconnaissance,EXOTIC LILY is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including Conti and Diavol.
Initial Access,"EXOTIC LILY may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021."
Resource Development,"EXOTIC LILY may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021."
Execution,"EXOTIC LILY may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021."
Command and Control,"EXOTIC LILY may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021."
